"시설번호","지역코드","시설일련번호","시도명","시군구명","수용시설명","법정동코드","행정동코드","상세주소","시설면적","경도","위도","X좌표","Y좌표"
"854","1171000000","31","서울특별시","송파구","문정초등학교 운동장","1171010800","1171064100","서울특별시 송파구 문정로5길 20(문정동)","6230","127.128620","37.488880","211374.960758","543277.736848"
"855","1171000000","39","서울특별시","송파구","잠신초등학교 운동장","1171010100","1171067000","서울특별시 송파구 잠실로 32(잠실동)","2800","127.088458","37.513820","207820.531849","546041.608169"
"856","1171000000","93","서울특별시","송파구","영동일고등학교 운동장","1171010100","1171068000","서울특별시 송파구 석촌호수로 93(잠실동)","1970","127.089381","37.509645","207902.510073","545578.387082"
"857","1171000000","94","서울특별시","송파구","잠실고등학교 운동장","1171010200","1171069000","서울특별시 송파구 올림픽로33길 71(신천동)","4778","127.106165","37.522223","209384.868591","546975.920567"
"858","1171000000","67","서울특별시","송파구","송파중학교 운동장","1171010700","1171063200","서울특별시 송파구 동남로 203(가락동)","6246","127.129768","37.495558","211475.470084","544019.006628"
"859","1171000000","81","서울특별시","송파구","서울체육고등학교 운동장","1171011100","1171056600","서울특별시 송파구 강동대로 232(방이동)","6447","127.128648","37.522377","211372.341306","546995.486357"
"860","1171000000","82","서울특별시","송파구","오금고등학교 운동장","1171011200","1171057000","서울특별시 송파구 중대로 247(오금동)","9264","127.129251","37.504172","211428.411324","544974.997120"
"861","1171000000","84","서울특별시","송파구","방산고등학교 운동장","1171011100","1171056100","서울특별시 송파구 오금로27길 18(방이동)","3717","127.121147","37.508120","210711.339539","545412.215102"
"862","1171000000","90","서울특별시","송파구","문현고등학교 운동장","1171010900","1171064600","서울특별시 송파구 충민로 115(장지동)","2157","127.128976","37.480825","211407.681673","542383.802337"
"863","1171000000","92","서울특별시","송파구","잠일고등학교 운동장","1171010100","1171067000","서울특별시 송파구 백제고분로 21(잠실동)","1532","127.082378","37.514140","207282.950628","546076.623582"
"864","1171000000","9","서울특별시","송파구","토성초등학교 운동장","1171010300","1171052000","서울특별시 송파구 풍성로20길 44(풍납동)","3456","127.115166","37.531802","210179.269331","548040.019222"
"865","1171000000","25","서울특별시","송파구","석촌초등학교 운동장","1171010500","1171060000","서울특별시 송파구 가락로11길 26(석촌동)","4600","127.104674","37.502562","209255.501645","544793.612208"
"866","1171000000","32","서울특별시","송파구","가원초등학교 운동장","1171010800","1171064200","서울특별시 송파구 중대로4길 8(문정동)","3763","127.111450","37.489058","209856.471814","543295.489244"
"867","1171000000","37","서울특별시","송파구","잠전초등학교 운동장","1171010100","1171065000","서울특별시 송파구 올림픽로12길 51(잠실동)","4926","127.084164","37.506683","207441.536700","545249.228611"
